ID_investigadores,grado_rec,categoria,institucion_estudio,pais_rec,ofos4,ofos1_rec,ambito_trabajo,institución_trabaja,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
9991,Ingeniero Civil,1,,#N/A,Civil Engineering,3,3,Ministerio de Obras Públicas,Jefe de División de Estudio y Planificación,Dirección General de Aguas,#s.i.,Santiago,1,14,,,,,
10003,"Diplomado en Gestión Ambiental,Licenciado en Biología,Diplomado en Planificación para la Conservación","2,1,2","Universidad de Chile,Universidad de Chile,Tecnológico de Monterrey","ch,ch,me","Environmental Engineering,Biology,Other Natural Sciences","3,4,4",3,Ministerio de Medio Ambiente,Jefe de División,División de Recursos Naturales y Biodiversidad,#s.i.,Santiago,1,14,,,,,
10004,"Diplomado de Economía,Diplomado en Derecho de Recursos Naturales,Abogado,Máster en Derecho","2,2,1,3","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,The American University","ch,ch,ch,usa","Economics,Law,Law,Law","2,2,2,2",2,Derecho e Ingeniería del Agua Consultores,Abogado,#s.i.,#s.i.,Santiago,1,14,,,,,
10024,Diseñador Industrial,1,Pontificia Universidad Católica de Valparaíso,ch,Materials Engineering,3,2,Advanced Innovation Center,Gerente,#s.i.,#s.i.,Concón,2,5,,,,,
10030,"Doctor en Ingeniería de Sistemas Complejos,Ingeniero Civil,Máster en Administración y Negocios","4,1,3","Universidad Adolfo Ibáñez,Universidad de Concepción,Universidad de Chile","ch,ch,ch","Mathematics,Civil Engineering,Economics","4,3,2",2,Corporación Nacional del Cobre,Director de Recursos Hídricos,#s.i.,#s.i.,Santiago,1,14,,,,,
10045,Ingeniero Civil,1,,#N/A,Civil Engineering,3,3,Ministerio de Obras Públicas,Jefe de Gestión,Dirección General de Aguas,Departamento de Estudios y Planificación de Recursos Hídricos,Santiago,1,14,,,,,
10046,Economista: mención Relaciones Económicas Internacionales,1,Universidad de Finanzas de Moscú,ru,Economics,2,4,Centro de Estudios para América Latina,Oficial para Asuntos Económicos,División de Recursos Naturales e Infraestructura,#s.i.,Santiago,1,14,,,,,
10047,Ingeniero Civil,1,Universidad de Santiago de Chile,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Director Regional de Obras Hidráulicas,Dirección de Obras Hidráulicas,#s.i.,Santiago,1,14,,,,,
10052,Ingeniero Civil,1,,#N/A,Civil Engineering,3,2,DSS Ambiente Ingeniería y Sistemas Ambientales,Director,#s.i.,#s.i.,Santiago,1,14,,,,,
10068,"Máster en Ciencias: mención Gestión de Cuencas,Ingeniero Civil Agrícola,Doctor en Ingeniería de Sistemas de Recursos Hídricos","3,1,4","Colorado State University,Universidad Nacional Agraria La Molina,Colorado State University","usa,pe,usa","Hydrology,Cultivation of Land, Horticulture,Hydrology","4,1,4",4,Fundación Chile,Consultor senior,Área Recursos Hídricos e Innovación,#s.i.,Santiago,1,14,,,,,
10070,Geóloga,1,Universidad de Chile,ch,"Geology, Mineralogy",4,2,ICASS Consultoría en Recursos Hídricos,Profesional,#s.i.,#s.i.,Santiago,1,14,,,,,
10074,"Diplomado en Energías Renovables no Convencionales,Ingeniero Civil Hidráulico,Máster en Hidrología Subterránea","2,1,3","Universidad de Chile,Universidad Católica del Norte,Universidad Politécnica de Cataluña","ch,ch,es","Agriculture and Forestry,Civil Engineering,Hydrology","1,3,4",2,ICASS Consultoría en Recursos Hídricos,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
